,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_ip_bytes,resp_ip_bytes,bytes_ratio,pkts_ratio,bytes_per_second,pkts_per_second
duration,1.0,0.2844748198910138,0.21338549748949096,0.2877916365302291,0.26943249772870453,0.2979457254425882,0.23144196061379052,-0.1267000587053153,-0.01257233377798557,-0.17866429204235934,-0.13148633579505487
orig_bytes,0.2844748198910138,1.0,0.2992166752615772,0.24018563236854723,0.27776743517488917,0.27613202658143,0.3128393916156042,-0.05630161797154584,-0.030130505987012644,-0.07625800671665972,-0.11612234915475576
resp_bytes,0.21338549748949096,0.2992166752615772,1.0,0.18557373373014963,0.29924743431834466,0.2900718571695895,0.3533695211780881,-0.30841660523225867,-0.055336133584288634,-0.1093228322947882,-0.11242125506167229
orig_pkts,0.2877916365302291,0.24018563236854723,0.18557373373014963,1.0,0.2148224637160669,0.24837835029817024,0.192513729249277,-0.11598585495973618,0.3885576586778351,-0.09936866325386227,-0.08303059882474312
resp_pkts,0.26943249772870453,0.27776743517488917,0.29924743431834466,0.2148224637160669,1.0,0.2786001364613158,0.30465352364810816,-0.15096168499491083,-0.5373489235237873,-0.11569249557374069,-0.11586921238852128
orig_ip_bytes,0.2979457254425882,0.27613202658143,0.2900718571695895,0.24837835029817024,0.2786001364613158,1.0,0.28738129705238985,-0.1502009331766354,-0.019989492746343752,-0.11460900276860303,-0.11671833145238554
resp_ip_bytes,0.23144196061379052,0.3128393916156042,0.3533695211780881,0.192513729249277,0.30465352364810816,0.28738129705238985,1.0,-0.15976311358390746,-0.05680688017643537,-0.11025007439517003,-0.11423009081145627
bytes_ratio,-0.1267000587053153,-0.05630161797154584,-0.30841660523225867,-0.11598585495973618,-0.15096168499491083,-0.1502009331766354,-0.15976311358390746,1.0,0.01776778921463371,0.08545855097283991,0.07247705744727251
pkts_ratio,-0.01257233377798557,-0.030130505987012644,-0.055336133584288634,0.3885576586778351,-0.5373489235237873,-0.019989492746343752,-0.05680688017643537,0.01776778921463371,1.0,0.01384822501033841,0.034160408008452624
bytes_per_second,-0.17866429204235934,-0.07625800671665972,-0.1093228322947882,-0.09936866325386227,-0.11569249557374069,-0.11460900276860303,-0.11025007439517003,0.08545855097283991,0.01384822501033841,1.0,0.8938011981886733
pkts_per_second,-0.13148633579505487,-0.11612234915475576,-0.11242125506167229,-0.08303059882474312,-0.11586921238852128,-0.11671833145238554,-0.11423009081145627,0.07247705744727251,0.034160408008452624,0.8938011981886733,1.0
